2,3-           	        	                          	smallest
free           	        	notating                  	symbol  	      	Scala  	Scala
class          	        	symbol                    	subset  	N2D3P9	archive	archive
name           	N2D3P9  	classes                   	indices 	rank  	rank   	occurrences
{539/41}₂,₃    	4194.718	                          	        	4000.5	-      	0
{2009/11}₂,₃   	4194.718	                          	        	4000.5	-      	0
{8177}₂,₃      	4202.069	                          	        	4002  	-      	0
{60025/11}₂,₃  	4203.139	                          	        	4003  	-      	0
{1715/187}₂,₃  	4206.779	                          	        	4005  	-      	0
{3773/85}₂,₃   	4206.779	                          	        	4005  	-      	0
{5831/55}₂,₃   	4206.779	                          	        	4005  	-      	0
{6875/23}₂,₃   	4209.346	                          	        	4007.5	-      	0
{14375/11}₂,₃  	4209.346	                          	        	4007.5	-      	0
{2375/121}₂,₃  	4213.059	                          	        	4009  	-      	0
{665/37}₂,₃    	4214.745	                          	        	4011.5	-      	0
{1295/19}₂,₃   	4214.745	                          	        	4011.5	-      	0
{3515/7}₂,₃    	4214.745	                          	        	4011.5	-      	0
{4921/5}₂,₃    	4214.745	                          	        	4011.5	-      	0
{899/49}₂,₃    	4214.756	                          	        	4014  	-      	0
{10469}₂,₃     	4216.681	                          	        	4015  	-      	0
{12925}₂,₃     	4218.576	                          	        	4016  	-      	0
{245/61}₂,₃    	4220.579	                          	        	4017.5	-      	0
{2989/5}₂,₃    	4220.579	                          	        	4017.5	-      	0
{6859/7}₂,₃    	4223.366	                          	        	4019  	-      	0
{325/53}₂,₃    	4226.505	                          	        	4020.5	-      	0
{1325/13}₂,₃   	4226.505	                          	        	4020.5	-      	0
{247/43}₂,₃    	4228.731	                          	        	4023  	-      	0
{559/19}₂,₃    	4228.731	                          	        	4023  	-      	0
{817/13}₂,₃    	4228.731	                          	        	4023  	-      	0
{259/143}₂,₃   	4229.534	                          	        	4026  	-      	0
{407/91}₂,₃    	4229.534	                          	        	4026  	-      	0
{481/77}₂,₃    	4229.534	                          	        	4026  	-      	0
{10325}₂,₃     	4230.382	                          	        	4028  	-      	0
{21025}₂,₃     	4234.201	                          	        	4029  	-      	0
{1729/23}₂,₃   	4234.449	                          	        	4031.5	-      	0
{2093/19}₂,₃   	4234.449	                          	        	4031.5	-      	0
{3059/13}₂,₃   	4234.449	                          	        	4031.5	-      	0
{5681/7}₂,₃    	4234.449	                          	        	4031.5	-      	0
{2501}₂,₃      	4237.806	                          	        	4034  	-      	0
{775/343}₂,₃   	4238.979	                          	        	4035  	-      	0
{71825}₂,₃     	4239.670	                          	        	4036  	-      	0
{73/43}₂,₃     	4243.463	                          	        	4037  	329    	2
{181/7}₂,₃     	4246.796	                          	        	4038  	-      	0
{3871}₂,₃      	4247.347	                          	        	4039  	-      	0
{91/71}₂,₃     	4247.509	                          	        	4041  	-      	0
{497/13}₂,₃    	4247.509	                          	        	4041  	-      	0
{923/7}₂,₃     	4247.509	                          	        	4041  	-      	0
{71995}₂,₃     	4249.705	                          	        	4043  	-      	0
{19747}₂,₃     	4251.090	                          	        	4044  	-      	0
{4913/11}₂,₃   	4253.384	                          	        	4045  	-      	0
{89/29}₂,₃     	4253.870	                          	        	4046  	604.5  	1
{103/65}₂,₃    	4256.698	                          	        	4047  	604.5  	1
{9889}₂,₃      	4257.764	                          	        	4048  	-      	0
{4375/29}₂,₃   	4258.536	                          	        	4049.5	-      	0
{18125/7}₂,₃   	4258.536	                          	        	4049.5	-      	0
{277}₂,₃       	4262.722	                          	        	4051  	-      	0
{1859/343}₂,₃  	4264.033	                          	        	4052  	-      	0
{11875/49}₂,₃  	4265.287	                          	        	4053  	-      	0
{475/253}₂,₃   	4265.471	                          	        	4055  	-      	0
{575/209}₂,₃   	4265.471	                          	        	4055  	-      	0
{4807/25}₂,₃   	4265.471	                          	        	4055  	-      	0
{209/47}₂,₃    	4274.824	                          	        	4058  	-      	0
{517/19}₂,₃    	4274.824	                          	        	4058  	-      	0
{893/11}₂,₃    	4274.824	                          	        	4058  	-      	0
{79/37}₂,₃     	4276.241	                          	        	4060  	329    	2
{623/25}₂,₃    	4278.318	                          	        	4061  	-      	0
{781/25}₂,₃    	4278.627	                          	        	4062  	-      	0
{1925/31}₂,₃   	4282.234	                          	        	4064  	-      	0
{5425/11}₂,₃   	4282.234	                          	        	4064  	-      	0
{8525/7}₂,₃    	4282.234	                          	        	4064  	-      	0
{2197/875}₂,₃  	4285.129	                          	        	4066  	-      	0
{289/155}₂,₃   	4285.941	                          	        	4067  	-      	0
{133/59}₂,₃    	4286.787	                          	        	4069  	-      	0
{413/19}₂,₃    	4286.787	                          	        	4069  	-      	0
{1121/7}₂,₃    	4286.787	                          	        	4069  	-      	0
{203/185}₂,₃   	4288.688	                          	        	4072  	-      	0
{259/145}₂,₃   	4288.688	                          	        	4072  	-      	0
{1073/35}₂,₃   	4288.688	                          	        	4072  	-      	0
{1417}₂,₃      	4290.361	                          	        	4074  	-      	0
{841/19}₂,₃    	4290.657	                          	        	4075  	-      	0
{2117}₂,₃      	4292.806	                          	        	4076  	-      	0
{529/343}₂,₃   	4293.499	                          	        	4077  	-      	0
{1573/1225}₂,₃ 	4295.272	                          	        	4078  	-      	0
{28561/5}₂,₃   	4297.373	                          	        	4079  	-      	0
{1105/29}₂,₃   	4302.338	                          	        	4081.5	-      	0
{1885/17}₂,₃   	4302.338	                          	        	4081.5	-      	0
{2465/13}₂,₃   	4302.338	                          	        	4081.5	-      	0
{6409/5}₂,₃    	4302.338	                          	        	4081.5	-      	0
{145775}₂,₃    	4302.387	                          	        	4084  	-      	0
{167/25}₂,₃    	4303.858	                          	        	4085  	-      	0
{20449/7}₂,₃   	4307.544	                          	        	4086  	-      	0
{130625}₂,₃    	4308.811	                          	        	4087  	-      	0
{455/323}₂,₃   	4309.159	                          	        	4092.5	-      	0
{595/247}₂,₃   	4309.159	                          	        	4092.5	-      	0
{665/221}₂,₃   	4309.159	                          	        	4092.5	-      	0
{1105/133}₂,₃  	4309.159	                          	        	4092.5	-      	0
{1235/119}₂,₃  	4309.159	                          	        	4092.5	-      	0
{1547/95}₂,₃   	4309.159	                          	        	4092.5	-      	0
{1615/91}₂,₃   	4309.159	                          	        	4092.5	-      	0
{1729/85}₂,₃   	4309.159	                          	        	4092.5	-      	0
{2261/65}₂,₃   	4309.159	                          	        	4092.5	-      	0
{4199/35}₂,₃   	4309.159	                          	        	4092.5	329    	2
{10013}₂,₃     	4311.153	                          	        	4098  	-      	0
{1813/125}₂,₃  	4313.336	                          	        	4099  	-      	0
{475/203}₂,₃   	4315.316	                          	        	4101  	-      	0
{725/133}₂,₃   	4315.316	                          	        	4101  	-      	0
{3857/25}₂,₃   	4315.316	                          	        	4101  	-      	0
{1043}₂,₃      	4316.861	                          	        	4103  	-      	0
{175/73}₂,₃    	4317.477	                          	        	4104.5	-      	0
{1825/7}₂,₃    	4317.477	                          	        	4104.5	-      	0
{7585}₂,₃      	4319.236	                          	        	4106  	-      	0
{697/49}₂,₃    	4321.830	                          	        	4107  	-      	0
